num_mes,anio,mes,departamento,salario,cant_salario,cod_dpto
1,2015,Ene,Bolívar,No especifica Salario,260,4
1,2015,Ene,Boyacá,Salario Mínimo,10,5
1,2015,Ene,Boyacá,Salario Mínimo 0 $1.000.000,147,5
1,2015,Ene,Boyacá,$1.000.001 0 $1.500.000,45,5
1,2015,Ene,Boyacá,$1.500.001 0 $2.000.000,27,5
1,2015,Ene,Boyacá,$2.000.001 0 $3.000.000,32,5
1,2015,Ene,Boyacá,$3.000.001 0 $4.000.000,17,5
1,2015,Ene,Boyacá,$4.000.001 0 $6.000.000,5,5
1,2015,Ene,Boyacá,$6.000.001 0 $8.000.000,0,5
1,2015,Ene,Boyacá,$8.000.001 0 $10.000.000,0,5
1,2015,Ene,Boyacá,$10.000.0010$12.000.000,0,5
1,2015,Ene,Boyacá,$12.000.0010$15.000.000,1,5
1,2015,Ene,Boyacá,>$15.000.001,0,5
1,2015,Ene,Boyacá,A convenir,21,5
1,2015,Ene,Boyacá,No especifica Salario,3,5
1,2015,Ene,Caldas,Salario Mínimo,24,6
1,2015,Ene,Caldas,Salario Mínimo 0 $1.000.000,73,6
1,2015,Ene,Caldas,$1.000.001 0 $1.500.000,45,6
1,2015,Ene,Caldas,$1.500.001 0 $2.000.000,30,6
1,2015,Ene,Caldas,$2.000.001 0 $3.000.000,28,6
1,2015,Ene,Caldas,$3.000.001 0 $4.000.000,15,6
1,2015,Ene,Caldas,$4.000.001 0 $6.000.000,10,6
1,2015,Ene,Caldas,$6.000.001 0 $8.000.000,1,6
1,2015,Ene,Caldas,$8.000.001 0 $10.000.000,0,6
1,2015,Ene,Caldas,$10.000.0010$12.000.000,1,6
1,2015,Ene,Caldas,$12.000.0010$15.000.000,0,6
1,2015,Ene,Caldas,>$15.000.001,0,6
1,2015,Ene,Caldas,A convenir,120,6
1,2015,Ene,Caldas,No especifica Salario,7,6
1,2015,Ene,Caquetá,Salario Mínimo,5,7
1,2015,Ene,Caquetá,Salario Mínimo 0 $1.000.000,22,7
1,2015,Ene,Caquetá,$1.000.001 0 $1.500.000,10,7
1,2015,Ene,Caquetá,$1.500.001 0 $2.000.000,5,7
1,2015,Ene,Caquetá,$2.000.001 0 $3.000.000,7,7
1,2015,Ene,Caquetá,$3.000.001 0 $4.000.000,1,7
1,2015,Ene,Caquetá,$4.000.001 0 $6.000.000,0,7
1,2015,Ene,Caquetá,$6.000.001 0 $8.000.000,0,7
